name,gender,bdate,bweekday,height,blood_type,bnt_1,bnt_2,bnt_3,bnt_4,g_iq,s_iq
V.O.,female,1982-01-25,Mon,153,A+,1,NA,0,1,100,110
D.B.,female,1991-11-19,Tue,173,O+,0,1,1,0,83,116
H.W.,female,1966-08-23,Tue,160,O+,0,1,1,1,107,115
V.B.,female,1969-05-30,Fri,171,A−,0,1,1,1,113,100
B.I.,female,1951-03-04,Sun,155,A+,1,1,1,0,111,112
D.A.,male,1949-06-10,Fri,179,B+,1,1,0,0,97,112
D.O.,female,1940-03-06,Wed,154,O+,1,1,1,0,101,113
D.T.,male,1935-04-18,Thu,188,B+,1,1,1,0,112,109
C.F.,male,1980-12-02,Tue,171,O+,1,1,0,1,86,96
L.N.,male,1932-04-05,Tue,181,AB+,0,1,0,0,89,85
Y.B.,female,1930-09-08,Mon,160,O+,1,0,NA,0,103,115
D.W.,male,1945-06-29,Fri,172,O−,0,1,0,0,94,85
D.V.,male,1970-02-23,Mon,173,A+,0,0,0,0,101,93
W.R.,male,1974-07-12,Fri,159,A−,0,1,0,0,103,77
A.Z.,male,1964-09-25,Fri,158,O+,1,1,0,0,98,99
D.C.,female,1997-02-09,Sun,164,O+,0,0,1,0,118,120
U.I.,female,1949-11-14,Mon,160,O+,0,0,1,0,98,119
S.I.,female,1982-03-14,Sun,163,O+,1,1,0,0,102,110
W.K.,male,1983-06-15,Wed,181,A+,0,1,1,0,112,89
O.X.,female,1981-12-23,Wed,164,A+,0,1,0,0,94,113
Y.W.,female,1985-02-09,Sat,150,O+,1,0,1,1,102,112
K.J.,female,1958-11-21,Fri,161,A+,1,0,1,1,104,104
L.X.,male,1935-07-16,Tue,177,B+,0,1,1,1,105,110
J.P.,female,1951-02-18,Sun,165,O+,0,1,0,1,95,117
Q.S.,male,1949-02-14,Mon,177,O+,0,0,0,1,99,106
A.M.,male,1988-08-12,Fri,172,A+,1,1,0,0,95,107
L.O.,male,1979-04-17,Tue,177,O+,1,1,1,0,97,NA
E.O.,male,1949-06-30,Thu,176,A−,1,1,1,0,116,86
P.Q.,female,1952-12-05,Fri,161,O+,0,0,0,0,101,110
U.J.,male,1956-05-01,Tue,177,A+,0,1,1,0,91,96
I.Z.,male,1990-07-31,Tue,187,O+,1,0,1,1,95,108
S.K.,female,1986-12-24,Wed,163,O+,1,1,0,0,106,106
O.C.,female,1956-02-08,Wed,151,A+,0,NA,1,1,99,116
W.M.,female,2001-05-29,Tue,170,O+,1,1,0,0,100,105
H.M.,male,1986-09-02,Tue,190,A+,1,0,1,0,104,102
B.W.,male,1994-08-27,Sat,176,O−,0,1,0,0,101,92
T.B.,female,1994-04-05,Tue,160,A+,0,0,NA,1,94,99
L.N.,male,1940-04-24,Wed,157,A+,NA,1,1,0,97,118
T.G.,female,1999-11-16,Tue,157,O+,0,0,1,1,97,NA
M.Z.,female,1945-07-12,Thu,162,O+,0,0,0,0,95,109
V.G.,male,1950-01-02,Mon,192,O+,0,0,0,0,96,91
G.X.,male,1969-01-30,Thu,169,A+,1,1,NA,0,105,96
P.B.,female,1972-02-03,Thu,164,A+,1,1,1,0,99,111
S.T.,female,1934-02-15,Thu,169,O−,0,1,1,1,97,113
G.N.,female,1975-10-15,Wed,164,O+,0,1,0,1,95,112
U.S.,male,1995-02-23,Thu,183,B−,1,0,1,0,83,86
W.B.,female,1993-05-01,Sat,146,O+,0,1,1,0,102,101
A.Y.,male,1950-03-23,Thu,167,O+,1,1,1,1,95,109
G.X.,male,1990-07-31,Tue,164,O+,0,0,0,0,90,102
N.S.,female,1967-07-11,Tue,153,O+,0,1,0,1,109,83
Y.B.,male,1931-01-23,Fri,170,O+,0,0,0,1,103,101
D.T.,male,1966-06-07,Tue,165,A+,0,1,1,1,120,92
W.S.,male,1985-08-27,Tue,166,O+,1,1,0,1,113,87
X.T.,male,1999-09-04,Sat,167,A+,0,0,1,0,104,95
E.M.,male,1973-07-01,Sun,181,O+,0,0,0,1,105,96
K.M.,male,1947-04-04,Fri,164,O+,1,0,0,0,99,108
L.A.,male,1936-06-30,Tue,174,A+,1,1,1,0,104,75
R.K.,female,1981-05-09,Sat,162,O−,1,0,0,1,111,107
A.H.,female,1937-04-18,Sun,156,AB+,1,1,0,1,123,92
A.Q.,male,1959-04-13,Mon,171,A+,1,0,0,0,98,103
V.T.,female,1992-12-28,Mon,165,O+,0,0,0,1,94,122
N.Q.,female,1947-05-30,Fri,166,AB+,0,1,0,0,115,87
K.L.,male,1994-03-11,Fri,180,O+,1,1,NA,0,95,99
Q.M.,female,1961-07-17,Mon,163,A+,1,1,0,1,108,118
O.N.,male,1995-03-25,Sat,177,A+,0,0,0,0,105,111
V.O.,female,1996-10-23,Wed,169,O+,0,1,1,1,103,103
A.M.,male,1993-08-27,Fri,178,AB+,1,0,0,0,110,82
A.G.,female,1962-07-29,Sun,170,O+,1,1,1,1,107,100
Y.H.,female,1993-04-05,Mon,165,A+,0,0,1,0,98,110
B.Z.,female,1982-05-18,Tue,152,A+,1,1,0,1,106,122
B.O.,female,2001-01-09,Tue,172,O+,0,1,0,1,104,99
M.V.,female,1959-07-14,Tue,150,A−,1,1,1,1,101,85
N.V.,female,1937-09-13,Mon,159,B+,1,1,0,0,103,123
B.T.,female,1971-09-05,Sun,168,O−,0,1,0,NA,115,97
I.Q.,male,1975-04-17,Thu,186,A+,0,0,1,0,83,91
S.Y.,female,1949-02-15,Tue,160,A+,0,1,0,NA,98,119
H.Z.,female,1977-07-18,Mon,155,A+,0,1,1,1,104,124
M.U.,male,1931-06-01,Mon,166,A+,1,0,1,0,123,71
X.Z.,female,1987-12-05,Sat,165,A−,NA,1,0,0,112,97
F.F.,female,1974-08-25,Sun,157,A+,1,0,1,0,119,110
S.V.,male,1956-04-05,Thu,164,O+,0,0,1,0,84,103
B.S.,male,1952-06-27,Fri,170,O+,0,1,1,0,111,97
H.G.,male,1953-10-02,Fri,170,AB−,1,0,0,0,108,95
Z.W.,male,1990-12-08,Sat,180,A+,1,1,0,0,98,105
R.W.,male,1964-08-24,Mon,179,O−,0,0,0,0,96,95
V.Z.,male,1991-12-17,Tue,194,O+,0,0,0,0,80,105
X.H.,male,1956-03-14,Wed,183,O+,1,1,0,0,95,98
L.W.,male,1952-06-19,Thu,168,B+,1,0,1,1,103,90
N.G.,male,1980-09-13,Sat,172,O+,0,0,1,0,105,100
W.R.,female,1965-06-02,Wed,165,A+,1,1,1,0,99,109
P.Y.,male,1968-08-18,Sun,167,O+,1,0,0,1,106,94
D.U.,female,1981-09-22,Tue,161,O+,1,1,0,0,112,95
I.X.,female,1993-03-30,Tue,179,A+,1,1,1,0,95,120
Q.E.,female,1950-12-27,Wed,155,O−,0,0,NA,1,94,93
L.T.,male,1969-03-28,Fri,172,A+,0,1,1,0,98,93
G.Z.,male,1955-07-24,Sun,169,O+,1,1,1,0,126,99
N.Z.,female,1961-12-16,Sat,157,A−,1,1,1,1,112,107
K.P.,female,1987-11-02,Mon,156,A−,0,0,0,0,96,105
X.W.,female,1942-11-17,Tue,154,O+,NA,1,1,1,93,120
L.H.,male,1971-07-17,Sat,165,A+,1,0,0,1,130,89
X.Z.,male,1947-05-30,Fri,168,O+,1,1,0,1,105,111
D.O.,male,1963-10-12,Sat,190,O−,0,0,0,0,107,NA
I.W.,female,1974-03-18,Mon,154,O+,NA,0,0,1,93,117
B.J.,female,1982-07-22,Thu,156,O+,0,1,1,0,97,108
N.T.,female,1978-02-14,Tue,176,O+,0,1,0,1,92,116
H.V.,female,1941-11-04,Tue,169,O+,1,1,0,0,92,101
A.A.,female,1949-09-23,Fri,157,O+,1,1,0,0,101,115
G.V.,female,1984-09-18,Tue,157,A+,1,1,1,0,107,102
B.C.,female,1977-11-04,Fri,175,O+,1,1,0,1,111,119
Q.R.,male,1986-05-13,Tue,181,O+,0,0,1,0,99,90
J.E.,male,1980-09-16,Tue,206,O−,1,1,0,0,88,90
A.M.,female,1963-03-27,Wed,161,O+,1,1,0,0,98,107
P.Y.,male,1994-06-23,Thu,185,O+,0,1,1,1,99,92
J.E.,male,1985-03-03,Sun,176,O−,0,0,0,0,87,92
Z.A.,male,1990-03-28,Wed,174,A+,1,1,0,1,101,99
S.B.,female,1932-07-04,Mon,154,A+,0,1,0,1,103,104
H.B.,male,1952-11-07,Fri,174,O−,1,0,0,1,97,NA
R.X.,female,1967-06-27,Tue,172,O+,1,0,1,1,110,111
M.S.,male,1980-10-03,Fri,171,A+,1,0,0,0,103,103
R.J.,male,1972-08-27,Sun,170,A+,0,0,0,1,119,90
Z.J.,male,1983-01-12,Wed,176,A+,1,1,1,0,108,98
H.H.,female,1989-10-30,Mon,172,B+,1,1,1,0,104,115
S.N.,male,1962-02-01,Thu,161,O+,0,0,0,0,93,103
X.O.,male,1943-09-12,Sun,175,O−,0,1,1,0,100,90
E.Z.,female,1977-09-05,Mon,166,O+,1,0,0,0,96,109
C.H.,male,1991-08-22,Thu,190,A+,1,0,1,0,91,95
K.R.,female,1937-05-26,Wed,147,A+,1,0,0,1,100,109
N.G.,female,1980-05-18,Sun,160,A+,0,1,0,0,107,95
Q.O.,female,1933-10-17,Tue,151,A+,1,1,0,0,NA,99
S.U.,female,1951-07-24,Tue,158,O+,0,1,0,0,87,112
E.U.,male,1948-05-27,Thu,163,A+,1,0,1,0,100,103
Y.W.,male,1980-08-10,Sun,193,O−,1,0,0,1,116,83
Y.E.,female,1979-10-08,Mon,171,A+,0,1,0,0,106,96
D.D.,female,1966-10-30,Sun,160,O+,0,1,0,0,102,117
Q.R.,female,1952-11-08,Sat,164,A+,1,1,1,0,105,112
R.F.,female,1952-04-18,Fri,158,A−,1,0,0,NA,98,109
E.M.,female,1946-03-08,Fri,160,O+,0,1,1,1,108,126
U.U.,male,1968-10-31,Thu,180,O+,0,1,1,0,90,108
N.Z.,male,1977-02-21,Mon,172,O−,0,0,1,0,95,87
Z.N.,female,1953-09-04,Fri,171,O−,0,0,0,1,113,86
C.O.,male,1974-06-09,Sun,185,A+,0,0,0,0,101,98
D.P.,female,1984-02-27,Mon,174,O+,1,1,0,0,NA,122
Y.F.,female,1944-12-16,Sat,155,A+,1,1,1,0,104,111
K.J.,male,1977-06-22,Wed,176,B+,1,1,0,0,103,93
T.C.,female,1996-11-21,Thu,189,O−,0,1,0,0,98,97
D.S.,male,1957-03-27,Wed,177,O+,1,0,1,1,94,100
W.G.,male,1971-05-23,Sun,174,A+,1,1,0,0,107,88
R.I.,female,1970-04-04,Sat,172,A+,1,1,0,0,101,104
U.R.,male,1979-04-14,Sat,168,O+,0,1,1,0,103,85
G.G.,male,1995-12-15,Fri,166,O+,1,1,1,1,107,97
S.G.,female,1942-03-07,Sat,160,B+,1,1,1,0,102,112
O.U.,female,1943-10-08,Fri,164,O+,1,1,0,0,95,116
Q.M.,female,1932-08-26,Fri,169,A+,1,0,NA,0,109,93
Q.Z.,female,1971-09-15,Wed,163,A+,0,1,1,0,97,105
T.D.,male,1975-12-01,Mon,179,B+,0,0,0,1,91,92
I.U.,female,1947-04-22,Tue,155,B+,0,0,1,0,88,103
Y.K.,female,1930-04-22,Tue,147,O+,1,1,0,0,94,112
F.Z.,female,1945-11-18,Sun,157,B+,1,1,0,0,115,117
D.U.,male,1996-05-02,Thu,191,O+,0,1,0,0,101,71
S.U.,male,1967-11-04,Sat,172,A+,0,0,1,NA,104,114
N.L.,female,1995-07-02,Sun,165,A+,0,1,1,0,123,78
D.Z.,male,1949-09-12,Mon,175,A+,1,1,0,0,98,102
O.M.,female,1956-09-22,Sat,171,O+,1,1,1,0,138,89
K.G.,female,1957-04-16,Tue,165,O+,0,1,1,1,105,104
E.W.,male,1974-03-15,Fri,179,A+,1,1,0,0,98,113
Q.Z.,female,1967-01-07,Sat,162,A+,0,1,0,1,107,115
Y.Y.,female,1998-07-01,Wed,155,A+,1,1,0,0,102,88
X.K.,female,1963-05-05,Sun,154,O+,0,1,0,0,111,93
Z.U.,male,1971-05-02,Sun,177,A+,1,0,1,0,104,89
T.D.,male,1954-02-24,Wed,193,A+,0,0,0,1,95,109
G.P.,male,1972-03-19,Sun,179,A+,1,0,0,0,98,98
L.C.,male,1993-11-27,Sat,180,A+,0,1,1,0,99,91
T.X.,female,1992-03-01,Sun,176,A+,0,1,0,1,110,118
D.J.,male,1964-10-03,Sat,182,A+,1,0,1,1,121,94
E.Z.,female,1968-04-19,Fri,156,A+,0,1,0,1,110,115
E.O.,male,1957-03-18,Mon,166,O−,1,0,NA,0,96,81
P.Y.,female,1968-09-12,Thu,160,A+,0,0,1,0,94,120
Q.M.,female,1963-04-04,Thu,159,A+,0,0,1,0,102,105
G.D.,female,1948-01-09,Fri,135,A+,1,1,0,0,100,104
L.U.,male,1941-06-03,Tue,171,O+,0,0,0,1,104,106
Y.J.,female,1979-11-01,Thu,161,O+,1,0,1,0,89,116
H.J.,male,1990-02-01,Thu,188,B+,0,0,0,0,94,99
H.B.,male,1958-11-03,Mon,171,A−,0,1,0,0,88,79
X.D.,female,1928-05-24,Thu,157,O−,1,1,1,1,110,96
N.I.,male,1985-10-11,Fri,174,O−,1,0,0,1,94,83
S.N.,male,1976-05-05,Wed,181,O+,NA,0,0,0,101,97
Y.Y.,male,1963-09-01,Sun,174,O+,1,0,0,1,120,91
V.O.,male,1952-07-12,Sat,183,AB+,1,1,1,0,125,83
R.K.,female,1984-05-07,Mon,154,O+,1,1,0,0,112,97
K.A.,female,1989-07-10,Mon,153,A+,1,1,1,0,109,110
G.F.,male,1987-12-27,Sun,170,O+,0,1,0,0,109,90
V.O.,female,2000-03-14,Tue,167,A+,1,1,1,1,98,111
F.I.,male,2000-03-26,Sun,175,A+,1,1,0,0,97,101
R.S.,male,1983-02-28,Mon,190,O+,0,1,1,1,101,106
H.K.,male,1980-10-27,Mon,173,O+,0,0,0,0,88,98
N.Z.,male,1994-01-13,Thu,164,O+,1,0,0,1,94,102
U.T.,male,1957-01-22,Tue,187,A+,0,1,0,1,86,99
P.H.,male,1994-07-28,Thu,181,B+,0,1,1,0,91,100
J.J.,male,1971-04-26,Mon,181,O+,0,1,0,0,100,86
J.D.,female,1989-07-13,Thu,150,B+,1,1,1,0,114,93
Y.D.,female,1958-11-02,Sun,161,B−,1,1,0,NA,105,97
A.I.,female,1941-06-19,Thu,165,B+,1,1,1,1,106,112
T.A.,female,1962-03-24,Sat,148,O+,0,0,0,1,87,123
A.H.,female,1979-09-19,Wed,178,A+,1,1,0,0,94,105
K.W.,male,1991-04-03,Wed,171,O+,1,0,1,1,NA,93
E.M.,female,1940-09-21,Sat,160,A+,0,1,1,1,130,100
J.E.,female,1941-11-22,Sat,138,A+,1,1,1,1,127,105
Z.A.,female,1947-08-11,Mon,179,A−,1,1,1,0,105,100
Z.U.,male,1976-11-13,Sat,159,B+,1,1,0,1,114,107
M.K.,male,1988-07-12,Tue,173,O+,1,0,1,1,96,105
C.J.,female,1981-01-22,Thu,159,O−,1,0,1,0,93,97
U.Q.,female,1939-04-10,Mon,157,A−,1,0,0,1,97,101
U.V.,female,1967-03-31,Fri,166,O+,0,1,1,0,106,119
B.M.,female,1953-09-05,Sat,160,O−,1,0,0,0,120,90
S.R.,female,1993-11-14,Sun,159,B+,0,1,NA,1,110,NA
F.K.,female,1930-07-02,Wed,153,A+,1,1,NA,1,112,102
F.A.,female,1945-04-29,Sun,168,A−,1,0,0,0,113,98
C.H.,male,1947-08-10,Sun,174,O+,1,0,0,0,112,93
N.J.,female,1989-07-17,Mon,164,O+,1,0,1,1,114,NA
C.Z.,male,1962-12-02,Sun,186,O+,1,1,1,0,118,95
A.Q.,female,1996-02-06,Tue,144,B+,0,0,1,0,91,99
A.D.,female,1993-02-11,Thu,169,O+,1,1,1,0,103,115
N.O.,female,2000-05-06,Sat,165,A+,1,1,0,0,102,NA
U.P.,male,1961-03-15,Wed,160,O+,1,0,1,0,95,82
F.Q.,male,1996-03-21,Thu,140,O+,0,0,1,1,97,NA
H.R.,male,1934-04-25,Wed,164,A+,0,1,1,0,102,90
T.H.,male,1964-02-01,Sat,196,A+,1,0,1,0,97,103
O.C.,male,1992-05-15,Fri,189,O+,0,1,NA,0,110,84
Y.Q.,female,1994-01-19,Wed,161,A+,0,1,NA,0,101,114
L.O.,male,1982-10-23,Sat,200,O+,1,1,0,0,109,108
J.C.,male,1967-04-29,Sat,180,A+,1,1,0,0,115,85
Z.A.,female,1943-10-13,Wed,159,A+,0,0,0,1,101,122
L.H.,female,1948-11-03,Wed,147,A+,1,1,1,0,112,106
C.M.,female,1989-08-27,Sun,163,A+,0,1,1,0,111,104
T.H.,female,1985-09-24,Tue,161,AB−,0,1,0,0,83,104
N.T.,male,1980-05-10,Sat,184,A+,1,1,0,0,96,88
R.W.,male,1969-05-26,Mon,164,O+,0,0,1,0,108,97
S.B.,female,1933-04-12,Wed,149,A+,0,1,0,0,100,105
Y.K.,male,1976-05-06,Thu,167,O+,1,0,0,0,93,96
X.E.,female,1951-12-04,Tue,164,A+,1,1,1,1,103,120
L.G.,male,1974-01-06,Sun,174,O+,1,1,0,0,91,102
Q.G.,male,1936-05-20,Wed,173,O+,1,1,1,0,111,107
U.Y.,male,1971-07-15,Thu,177,O+,0,0,1,1,102,86
R.T.,female,1987-03-24,Tue,169,A+,NA,NA,0,1,93,101
M.D.,female,1971-11-07,Sun,170,O+,1,0,1,0,102,102
X.N.,female,1941-10-18,Sat,165,O+,1,1,1,0,113,111
U.B.,male,1983-02-04,Fri,176,A+,0,1,0,0,95,NA
I.K.,male,1982-03-20,Sat,167,O+,1,0,0,1,109,108
F.D.,female,1956-01-15,Sun,143,B+,0,1,1,1,120,95
F.M.,male,1982-12-31,Fri,174,O−,0,0,0,0,86,93
C.O.,female,1961-11-14,Tue,156,O+,1,1,1,0,93,98
T.O.,male,1965-03-29,Mon,173,B+,0,1,0,1,95,94
J.H.,female,1989-12-29,Fri,168,A−,1,1,1,1,109,92
N.W.,female,1967-05-02,Tue,160,A+,1,0,0,0,88,107
D.U.,male,1974-02-16,Sat,181,B+,1,0,0,0,107,107
N.D.,male,1981-12-27,Sun,161,A+,1,0,1,0,98,105
A.I.,female,1973-03-29,Thu,169,B+,1,1,1,0,109,114
A.D.,female,1980-07-12,Sat,169,A+,0,1,0,0,122,96
W.P.,male,1973-06-06,Wed,166,O+,1,0,1,0,100,93
B.O.,male,1987-12-04,Fri,189,O+,0,0,0,0,96,108
H.V.,male,1968-03-31,Sun,177,A+,1,1,NA,0,109,95
C.P.,male,1970-08-31,Mon,183,A+,1,0,0,0,94,112
G.D.,female,1946-03-11,Mon,152,A+,1,0,1,1,99,106
O.Q.,female,1974-07-11,Thu,158,O+,1,1,0,0,102,103
Y.I.,female,1962-04-30,Mon,160,AB+,1,1,0,1,101,107
Y.C.,male,1959-07-07,Tue,189,O+,1,1,0,0,98,98
P.T.,female,1985-01-26,Sat,168,O+,0,1,1,1,102,114
H.T.,male,1997-09-01,Mon,182,O+,0,1,1,NA,104,96
P.Z.,male,1959-05-26,Tue,174,B+,1,0,1,0,93,NA
E.H.,male,1979-05-23,Wed,168,A−,0,1,1,0,112,94
N.R.,male,1947-01-28,Tue,163,A+,1,1,0,1,99,112
X.I.,female,1938-02-25,Fri,148,A+,0,0,1,0,101,116
I.M.,male,1977-01-20,Thu,175,A+,0,0,NA,1,99,105
H.Q.,female,1956-07-30,Mon,174,O+,1,1,1,0,95,119
U.V.,male,1983-11-17,Thu,196,O+,1,0,1,0,91,104
Q.V.,male,1989-06-03,Sat,184,A+,0,0,0,0,103,107
R.H.,male,1994-08-18,Thu,177,A+,1,1,0,0,104,95
V.H.,female,1981-09-30,Wed,161,O+,0,1,0,0,110,100
L.I.,female,1982-10-23,Sat,152,O−,0,0,0,0,114,94
A.X.,female,1951-02-10,Sat,160,A+,1,0,1,0,105,117
T.A.,female,1996-04-17,Wed,171,A+,0,1,0,1,115,95
B.U.,female,1988-03-21,Mon,157,A+,0,1,0,1,102,120
Q.L.,male,2000-01-17,Mon,167,A+,0,0,1,0,97,85
T.M.,male,1962-02-02,Fri,160,B+,1,0,0,0,90,112
M.V.,female,1974-10-05,Sat,148,O+,0,1,0,1,96,115
O.Z.,male,1928-08-27,Mon,167,O+,0,0,0,0,106,89
X.M.,male,1945-01-18,Thu,186,A+,1,0,1,0,83,96
U.R.,male,1994-10-02,Sun,182,A+,1,1,0,1,111,NA
X.O.,female,1962-08-02,Thu,153,AB−,1,1,1,1,88,107
C.U.,female,1987-04-18,Sat,154,O+,1,1,1,0,113,100
E.Q.,female,1989-12-07,Thu,176,B+,1,1,0,0,90,119
Q.E.,female,1963-07-15,Mon,155,A+,0,0,1,0,110,112
M.J.,male,1999-06-20,Sun,170,O+,1,0,0,1,102,109
H.J.,female,1970-07-09,Thu,163,O+,0,1,0,0,99,NA
V.F.,female,1962-07-14,Sat,158,A+,0,0,0,NA,105,111
M.T.,female,1971-10-08,Fri,171,A+,0,1,1,1,108,111
V.Y.,female,1969-01-31,Fri,172,O+,0,1,0,1,90,115
E.G.,female,1991-08-12,Mon,157,B+,1,1,0,0,105,113
P.L.,female,1984-06-07,Thu,155,O−,1,1,1,1,90,108
G.G.,male,1979-12-22,Sat,164,A+,0,0,0,0,109,91
C.N.,male,1988-01-16,Sat,183,O+,0,1,1,1,98,116
U.B.,male,1992-06-04,Thu,172,O+,1,0,0,0,93,111
S.T.,male,1987-05-12,Tue,175,A−,1,0,0,1,94,77
C.Y.,female,1963-11-12,Tue,158,A−,0,1,1,1,105,106
Q.X.,female,1984-09-09,Sun,182,A−,1,0,1,1,NA,105
K.T.,female,2002-04-29,Mon,164,A+,1,0,0,1,98,107
D.E.,female,1994-04-04,Mon,166,O+,0,0,0,1,99,101
O.P.,male,1960-11-01,Tue,151,A+,1,0,1,0,102,106
S.F.,male,1957-02-22,Fri,180,O+,1,1,0,1,98,NA
N.V.,female,1974-08-07,Wed,154,AB−,1,1,1,1,113,88
X.Y.,male,1954-04-05,Mon,185,O+,0,1,1,1,92,99
V.O.,female,1968-04-23,Tue,161,A+,1,1,1,0,104,114
B.B.,female,1933-11-22,Wed,144,O+,1,1,0,1,103,124
Z.O.,male,1992-07-09,Thu,189,O−,1,1,1,0,112,90
V.P.,female,1987-07-08,Wed,178,A+,0,1,0,0,103,93
T.U.,male,1968-12-03,Tue,174,O−,0,0,1,0,90,82
X.H.,female,1953-06-12,Fri,167,AB+,0,1,1,1,106,102
C.A.,male,1963-10-24,Thu,170,O+,0,1,NA,0,73,101
N.X.,female,1970-06-15,Mon,160,O+,1,1,NA,0,104,98
B.L.,male,1970-02-14,Sat,168,O+,0,1,0,1,116,105
U.G.,female,1971-08-24,Tue,160,A+,0,1,0,0,102,NA
O.N.,male,1988-05-16,Mon,171,A+,0,0,1,0,97,102
H.I.,female,1968-09-22,Sun,149,A−,0,1,1,1,111,93
P.Z.,male,1958-10-09,Thu,177,B+,1,0,1,1,97,107
X.F.,male,1975-11-30,Sun,185,A+,0,1,0,0,101,95
R.X.,female,1942-04-02,Thu,168,A+,1,1,1,0,99,97
Q.S.,female,1976-06-13,Sun,164,O+,NA,0,1,1,108,111
W.P.,female,1963-05-05,Sun,158,A+,1,0,1,0,116,114
Z.W.,male,1945-02-08,Thu,153,O+,1,0,0,1,98,108
U.N.,male,2002-04-19,Fri,178,A−,1,0,1,0,102,72
E.X.,female,1961-12-07,Thu,160,AB+,1,1,1,0,104,105
U.B.,male,1988-09-09,Fri,173,AB+,1,1,1,0,106,92
X.V.,female,1994-04-21,Thu,154,O+,0,1,0,1,104,100
R.A.,male,2001-12-09,Sun,167,O+,0,0,1,0,106,104
F.D.,male,1926-01-18,Mon,169,O+,1,0,NA,1,97,101
D.Y.,female,1951-06-16,Sat,161,A+,1,1,0,0,NA,101
N.Q.,female,1977-06-29,Wed,161,O+,1,0,1,0,99,125
C.K.,female,1985-09-30,Mon,169,A+,1,0,0,0,114,118
R.P.,male,1946-11-12,Tue,168,A+,0,1,1,0,81,91
V.I.,female,1968-07-02,Tue,170,O+,0,1,1,0,89,108
S.S.,male,1979-09-11,Tue,174,O+,0,1,0,1,101,94
D.I.,male,1973-04-10,Tue,186,A+,0,0,1,0,80,102
K.T.,male,1958-09-28,Sun,188,A+,0,1,0,0,111,89
Z.X.,female,1932-09-17,Sat,152,B+,0,0,0,0,106,93
A.R.,male,1997-06-07,Sat,167,O−,1,1,1,1,113,95
I.N.,female,1980-03-26,Wed,162,A+,1,1,1,0,108,115
K.X.,female,1949-02-06,Sun,159,A+,1,0,1,1,119,110
W.W.,male,1973-03-12,Mon,176,O+,1,1,1,1,110,88
H.U.,male,1931-04-24,Fri,170,A+,1,1,1,0,108,92
K.K.,female,1967-01-27,Fri,172,A−,1,1,1,0,110,108
I.B.,male,1964-02-23,Sun,171,A+,1,1,1,0,99,101
Q.P.,male,1928-07-24,Tue,166,O+,0,0,0,1,90,93
C.S.,female,1959-07-16,Thu,175,B+,1,1,1,0,117,108
Z.R.,female,1941-04-16,Wed,155,A+,NA,1,0,1,107,95
J.X.,female,1945-11-26,Mon,145,AB+,0,1,0,1,93,105
J.U.,male,1991-07-04,Thu,187,O+,1,1,1,1,109,86
I.P.,female,1973-01-14,Sun,163,O+,0,1,0,0,94,129
K.A.,female,1966-04-25,Mon,150,O+,0,0,0,1,106,102
M.K.,male,1982-10-08,Fri,171,A−,0,0,0,0,97,96
J.F.,male,1952-08-02,Sat,168,A+,0,0,0,1,119,99
R.I.,female,1968-07-08,Mon,171,A+,0,1,0,0,98,106
M.C.,female,1980-12-21,Sun,179,O+,1,0,0,1,84,113
A.L.,female,1984-04-25,Wed,159,O+,1,0,0,0,96,106
E.P.,male,1944-02-01,Tue,162,A+,0,0,1,0,99,96
H.H.,female,1983-10-09,Sun,171,A+,1,1,0,0,99,110
Z.A.,female,1963-03-31,Sun,166,O+,1,1,0,0,96,103
Q.I.,male,1972-01-03,Mon,160,O−,0,0,0,0,99,103
C.X.,male,1942-04-13,Mon,177,A+,1,0,1,0,106,82
Z.P.,female,1957-07-21,Sun,146,B+,0,1,1,0,100,109
S.J.,female,1974-09-26,Thu,172,O+,1,0,1,1,91,108
Z.J.,male,1979-12-10,Mon,175,O+,1,1,NA,0,93,101
K.I.,female,1989-12-25,Mon,148,A+,NA,1,1,0,97,109
R.Z.,male,1979-11-30,Fri,170,A+,1,0,0,1,94,107
C.F.,female,1987-12-21,Mon,162,A+,1,1,1,0,103,106
V.A.,male,1953-08-24,Mon,170,A+,0,0,1,0,106,104
F.N.,female,1974-01-24,Thu,164,A+,NA,1,1,NA,99,113
G.Q.,male,1953-07-10,Fri,178,A+,0,0,1,0,104,88
Y.C.,male,1941-12-25,Thu,181,A+,0,0,1,1,89,110
E.J.,female,1955-04-22,Fri,165,A+,0,1,1,1,106,115
D.D.,female,1959-01-06,Tue,166,A+,1,0,0,0,88,102
U.N.,male,1948-11-20,Sat,181,O−,0,0,1,0,111,89
F.S.,male,1991-03-24,Sun,182,A−,1,0,1,0,115,89
V.J.,female,1991-01-19,Sat,188,A+,NA,1,1,0,114,114
Z.J.,male,1992-12-27,Sun,176,B+,1,0,0,0,97,94
Z.H.,female,1983-10-10,Mon,163,O+,0,1,1,1,115,111
Q.E.,female,1994-01-22,Sat,157,O−,0,1,1,1,99,106
M.E.,female,1981-08-18,Tue,153,O+,1,1,0,0,92,105
U.H.,female,1985-07-23,Tue,167,O+,0,0,0,0,91,122
W.R.,male,1983-08-27,Sat,174,O+,0,0,1,1,99,102
U.K.,male,1996-08-18,Sun,178,A−,1,1,0,0,100,98
U.V.,male,1941-09-26,Fri,174,A+,0,1,0,1,94,93
J.D.,female,1995-03-12,Sun,160,A+,1,1,0,0,100,114
A.M.,female,1968-03-21,Thu,154,A+,1,1,1,1,110,101
